cardId,prestigePoints,bonusGem,costRuby,costEmerald,costSapphire,costDiamond,costOnyx
21,1,RUBY,3,2,2,0,0
22,1,EMERALD,0,3,2,2,0
23,1,SAPPHIRE,0,0,1,4,2
24,1,DIAMOND,2,3,0,3,0
25,1,ONYX,0,0,0,2,5
26,2,RUBY,0,5,0,0,0
27,2,EMERALD,5,0,0,0,0
28,2,SAPPHIRE,0,0,0,5,0
29,2,DIAMOND,0,0,0,0,5
30,2,ONYX,0,0,5,0,0
31,1,RUBY,2,0,0,1,4
32,1,EMERALD,0,2,3,0,3
33,1,SAPPHIRE,3,0,0,2,3
34,1,DIAMOND,4,2,0,0,1
35,1,ONYX,2,3,3,0,0
36,2,RUBY,0,0,0,0,6
37,2,EMERALD,0,0,6,0,0
38,2,SAPPHIRE,6,0,0,0,0
39,2,DIAMOND,0,6,0,0,0
40,2,ONYX,0,0,0,6,0
